text,label
Awful plot,0
Highly recommend,1
This is fantastic,1
Great acting,1
Best ever,1
Terrible experience,0
Superb!,1
So boring,0
Amazing experience,1
Awful plot,0
Brilliant plot,1
So boring,0
Would not recommend,0
Thumbs up,1
I hate this,0
Best ever,1
Horrible acting,0
Awful plot,0
Amazing experience,1
Disappointing,0
Brilliant plot,1
Best ever,1
Waste of time,0
Horrible acting,0
Highly recommend,1
Waste of time,0
Disappointing,0
Thumbs down,0
Great acting,1
Would not recommend,0
Really bad,0
Thumbs up,1
Highly recommend,1
Thumbs up,1
Absolutely loved it,1
So boring,0
Highly recommend,1
Awful plot,0
Absolutely loved it,1
Thumbs down,0
So boring,0
Would not recommend,0
Absolutely loved it,1
Disappointing,0
Amazing experience,1
I love this movie,1
Thumbs up,1
Highly recommend,1
I love this movie,1
I hate this,0
So boring,0
Superb!,1
Superb!,1
Waste of time,0
Terrible experience,0
Absolutely loved it,1
Absolutely loved it,1
Absolutely loved it,1
Terrible experience,0
Amazing experience,1
Absolutely loved it,1
Really bad,0
Amazing experience,1
I love this movie,1
Superb!,1
Thumbs down,0
Disappointing,0
Awful plot,0
Best ever,1
This is fantastic,1
Great acting,1
Great acting,1
Great acting,1
Horrible acting,0
Absolutely loved it,1
So boring,0
Horrible acting,0
Thumbs up,1
Best ever,1
Superb!,1
Terrible experience,0
Highly recommend,1
Really bad,0
Best ever,1
So boring,0
This is fantastic,1
Great acting,1
Terrible experience,0
Disappointing,0
Amazing experience,1
Great acting,1
Best ever,1
Really bad,0
Great acting,1
I hate this,0
Disappointing,0
Great acting,1
Waste of time,0
Disappointing,0
Waste of time,0
So boring,0
Best ever,1
Awful plot,0
Brilliant plot,1
Best ever,1
Awful plot,0
Brilliant plot,1
Highly recommend,1
Awful plot,0
Brilliant plot,1
Best ever,1
Great acting,1
Brilliant plot,1
Awful plot,0
Absolutely loved it,1
Horrible acting,0
Terrible experience,0
Amazing experience,1
Terrible experience,0
Waste of time,0
Superb!,1
Great acting,1
Really bad,0
Awful plot,0
Awful plot,0
Great acting,1
Waste of time,0
Amazing experience,1
Superb!,1
Thumbs down,0
This is fantastic,1
I hate this,0
Thumbs up,1
Really bad,0
Would not recommend,0
Highly recommend,1
I love this movie,1
This is fantastic,1
Absolutely loved it,1
I hate this,0
Brilliant plot,1
Highly recommend,1
Superb!,1
I love this movie,1
So boring,0
Would not recommend,0
Horrible acting,0
Great acting,1
Amazing experience,1
Would not recommend,0
I love this movie,1
Terrible experience,0
I hate this,0
I love this movie,1
Brilliant plot,1
Waste of time,0
This is fantastic,1
Awful plot,0
Thumbs down,0
Highly recommend,1
Brilliant plot,1
Terrible experience,0
Awful plot,0
Best ever,1
Thumbs up,1
Great acting,1
Highly recommend,1
Waste of time,0
Brilliant plot,1
I love this movie,1
So boring,0
Horrible acting,0
This is fantastic,1
Best ever,1
I hate this,0
Thumbs down,0
Awful plot,0
Thumbs up,1
Thumbs down,0
Awful plot,0
I love this movie,1
Waste of time,0
I hate this,0
Waste of time,0
Terrible experience,0
Amazing experience,1
Thumbs down,0
Really bad,0
This is fantastic,1
Would not recommend,0
Terrible experience,0
Really bad,0
I hate this,0
Thumbs up,1
Thumbs up,1
I hate this,0
So boring,0
I love this movie,1
Disappointing,0
Thumbs up,1
Terrible experience,0
This is fantastic,1
Waste of time,0
I hate this,0
Waste of time,0
Thumbs down,0
Awful plot,0
This is fantastic,1
Absolutely loved it,1
Terrible experience,0
Disappointing,0
Absolutely loved it,1
Superb!,1
Awful plot,0
Brilliant plot,1
Superb!,1
Superb!,1
Absolutely loved it,1
Thumbs down,0
Absolutely loved it,1
I love this movie,1
Disappointing,0
Absolutely loved it,1
Superb!,1
Brilliant plot,1
Terrible experience,0
Really bad,0
Thumbs up,1
Great acting,1
Brilliant plot,1
Absolutely loved it,1
Would not recommend,0
Brilliant plot,1
Awful plot,0
I hate this,0
Highly recommend,1
I hate this,0
Horrible acting,0
I love this movie,1
Thumbs up,1
So boring,0
Brilliant plot,1
Superb!,1
Disappointing,0
Amazing experience,1
Waste of time,0
Really bad,0
Highly recommend,1
Thumbs up,1
Really bad,0
Thumbs down,0
Highly recommend,1
Would not recommend,0
Awful plot,0
Horrible acting,0
Absolutely loved it,1
I hate this,0
I hate this,0
So boring,0
Superb!,1
Disappointing,0
This is fantastic,1
Waste of time,0
Superb!,1
Superb!,1
Awful plot,0
So boring,0
Really bad,0
